Club,Año,Formation,sum(Min),sum(Sh),sum(G),sum(ShA),sum(GA),Edad,Valor plantilla (mill. €),Amarillas,Rojas,Posesión (%),Acierto Pase (%),Rating,Pais
Empoli,2022,4-3-1-2,1573,200,15,256,16,24.8,92.00,47,4,46.3,79.6,6.54,Italia
Empoli,2022,4-3-3,189,18,2,38,4,24.8,92.00,47,4,46.3,79.6,6.54,Italia
Empoli,2022,4-4-2,20,3,0,6,1,24.8,92.00,47,4,46.3,79.6,6.54,Italia
Empoli,2022,5-4-1,15,0,0,5,1,24.8,92.00,47,4,46.3,79.6,6.54,Italia
Empoli,2022,4-5-1,14,2,0,2,0,24.8,92.00,47,4,46.3,79.6,6.54,Italia
Empoli,2022,5-3-2,7,1,0,3,0,24.8,92.00,47,4,46.3,79.6,6.54,Italia
Espanyol,2022,4-3-3,645,75,8,80,10,25.3,98.90,45,5,40.5,75.3,6.52,España
Espanyol,2022,4-2-3-1,451,49,7,62,9,25.3,98.90,45,5,40.5,75.3,6.52,España
Espanyol,2022,4-4-2,282,32,1,42,3,25.3,98.90,45,5,40.5,75.3,6.52,España
Espanyol,2022,4-3-1-2,194,21,2,33,3,25.3,98.90,45,5,40.5,75.3,6.52,España
Espanyol,2022,5-3-2,119,10,2,28,3,25.3,98.90,45,5,40.5,75.3,6.52,España
Espanyol,2022,3-4-3,94,10,2,10,1,25.3,98.90,45,5,40.5,75.3,6.52,España
Espanyol,2022,3-5-2,21,2,0,4,0,25.3,98.90,45,5,40.5,75.3,6.52,España
Espanyol,2022,5-4-1,20,1,1,3,0,25.3,98.90,45,5,40.5,75.3,6.52,España
Everton,2022,4-3-3,903,92,6,158,16,27.6,368.30,42,0,46.3,80.1,6.55,Inglaterra
Everton,2022,3-4-3,320,44,2,48,5,27.6,368.30,42,0,46.3,80.1,6.55,Inglaterra
Everton,2022,4-2-3-1,200,25,4,36,1,27.6,368.30,42,0,46.3,80.1,6.55,Inglaterra
Everton,2022,5-4-1,176,10,1,22,2,27.6,368.30,42,0,46.3,80.1,6.55,Inglaterra
Everton,2022,3-5-2,139,15,1,18,2,27.6,368.30,42,0,46.3,80.1,6.55,Inglaterra
Everton,2022,5-3-2,121,4,0,30,2,27.6,368.30,42,0,46.3,80.1,6.55,Inglaterra
Everton,2022,4-4-2,43,8,1,6,0,27.6,368.30,42,0,46.3,80.1,6.55,Inglaterra
FC Cologne,2022,4-2-3-1,843,115,12,123,15,24.5,96.03,30,3,49.2,77.7,6.55,Alemania
FC Cologne,2022,4-3-1-2,511,68,9,55,11,24.5,96.03,30,3,49.2,77.7,6.55,Alemania
FC Cologne,2022,4-4-2,172,25,7,12,2,24.5,96.03,30,3,49.2,77.7,6.55,Alemania
FC Cologne,2022,4-3-3,52,2,0,8,3,24.5,96.03,30,3,49.2,77.7,6.55,Alemania
FC Cologne,2022,3-4-3,12,5,1,0,0,24.5,96.03,30,3,49.2,77.7,6.55,Alemania
Fiorentina,2022,4-3-3,1130,189,11,113,16,26.2,235.75,47,2,57.5,83.1,6.52,Italia
Fiorentina,2022,4-2-3-1,687,110,10,69,9,26.2,235.75,47,2,57.5,83.1,6.52,Italia
Freiburg,2022,4-2-3-1,1077,164,15,147,17,25.9,161.63,31,0,49.0,77.9,6.65,Alemania
Freiburg,2022,3-4-3,335,48,9,27,3,25.9,161.63,31,0,49.0,77.9,6.65,Alemania
Freiburg,2022,3-5-2,95,3,1,16,3,25.9,161.63,31,0,49.0,77.9,6.65,Alemania
Freiburg,2022,5-4-1,34,3,0,7,0,25.9,161.63,31,0,49.0,77.9,6.65,Alemania
Freiburg,2022,4-5-1,30,2,1,6,1,25.9,161.63,31,0,49.0,77.9,6.65,Alemania
Freiburg,2022,4-4-2,12,1,0,1,0,25.9,161.63,31,0,49.0,77.9,6.65,Alemania
Fulham,2022,4-2-3-1,1862,237,30,264,27,27.9,240.00,50,1,47.2,78.8,6.61,Inglaterra
Fulham,2022,3-4-3,46,4,1,6,1,27.9,240.00,50,1,47.2,78.8,6.61,Inglaterra
Fulham,2022,4-3-3,41,6,1,5,0,27.9,240.00,50,1,47.2,78.8,6.61,Inglaterra
Fulham,2022,5-4-1,39,2,0,8,2,27.9,240.00,50,1,47.2,78.8,6.61,Inglaterra
Fulham,2022,4-4-2,6,1,0,0,0,27.9,240.00,50,1,47.2,78.8,6.61,Inglaterra
Getafe,2022,5-3-2,1417,141,15,186,20,27.4,142.20,50,6,40.2,75.2,6.43,España
Getafe,2022,4-4-2,178,17,1,30,3,27.4,142.20,50,6,40.2,75.2,6.43,España
Getafe,2022,5-4-1,112,7,0,13,2,27.4,142.20,50,6,40.2,75.2,6.43,España
Getafe,2022,3-5-2,25,3,0,1,0,27.4,142.20,50,6,40.2,75.2,6.43,España
Girona,2022,4-3-3,480,76,9,65,7,26.4,114.70,45,1,50.7,84.3,6.49,España
Girona,2022,3-4-3,356,31,3,48,5,26.4,114.70,45,1,50.7,84.3,6.49,España
Girona,2022,4-4-2,329,55,5,38,6,26.4,114.70,45,1,50.7,84.3,6.49,España
Girona,2022,5-3-2,252,39,4,29,7,26.4,114.70,45,1,50.7,84.3,6.49,España
Girona,2022,4-2-3-1,134,14,1,21,1,26.4,114.70,45,1,50.7,84.3,6.49,España
Girona,2022,4-5-1,93,7,1,9,1,26.4,114.70,45,1,50.7,84.3,6.49,España
Girona,2022,3-5-2,91,11,3,7,1,26.4,114.70,45,1,50.7,84.3,6.49,España
Girona,2022,5-4-1,7,2,0,0,0,26.4,114.70,45,1,50.7,84.3,6.49,España
Hertha Berlin,2022,4-3-3,821,106,8,119,15,25.7,97.95,40,1,43.5,72.5,6.51,Alemania
Hertha Berlin,2022,4-4-2,392,48,5,52,4,25.7,97.95,40,1,43.5,72.5,6.51,Alemania
Hertha Berlin,2022,4-2-3-1,367,40,6,48,11,25.7,97.95,40,1,43.5,72.5,6.51,Alemania
Hertha Berlin,2022,4-3-1-2,11,4,0,3,0,25.7,97.95,40,1,43.5,72.5,6.51,Alemania
Hertha Berlin,2022,5-3-2,10,1,1,1,0,25.7,97.95,40,1,43.5,72.5,6.51,Alemania
Hoffenheim,2022,3-5-2,1500,213,23,221,25,25.3,167.95,36,2,50.2,79.1,6.54,Alemania
Hoffenheim,2022,3-4-3,96,14,2,8,2,25.3,167.95,36,2,50.2,79.1,6.54,Alemania
Inter,2022,3-5-2,1743,267,38,210,24,27.7,556.45,37,1,53.6,84.5,6.66,Italia
Inter,2022,3-4-3,38,5,0,4,1,27.7,556.45,37,1,53.6,84.5,6.66,Italia
Inter,2022,4-3-1-2,22,7,0,1,0,27.7,556.45,37,1,53.6,84.5,6.66,Italia
Juventus,2022,3-5-2,486,77,11,71,3,26.5,465.80,33,4,49.3,83.3,6.71,Italia
Juventus,2022,4-3-3,384,43,4,51,3,26.5,465.80,33,4,49.3,83.3,6.71,Italia
Juventus,2022,3-4-3,340,43,6,45,3,26.5,465.80,33,4,49.3,83.3,6.71,Italia
Juventus,2022,4-4-2,298,47,5,44,2,26.5,465.80,33,4,49.3,83.3,6.71,Italia
Juventus,2022,4-5-1,165,25,3,23,1,26.5,465.80,33,4,49.3,83.3,6.71,Italia
Juventus,2022,4-2-3-1,113,19,1,10,3,26.5,465.80,33,4,49.3,83.3,6.71,Italia
Juventus,2022,4-3-1-2,8,1,0,0,0,26.5,465.80,33,4,49.3,83.3,6.71,Italia
Lazio,2022,4-3-3,1642,190,32,213,13,27.0,254.65,43,1,51.1,84.6,6.74,Italia
Lazio,2022,4-5-1,89,9,2,11,1,27.0,254.65,43,1,51.1,84.6,6.74,Italia
Lazio,2022,4-4-2,65,10,1,5,1,27.0,254.65,43,1,51.1,84.6,6.74,Italia
Lecce,2022,4-3-3,1716,191,19,216,21,23.9,70.68,44,2,42.2,72.7,6.49,Italia
Lecce,2022,4-2-3-1,191,13,0,22,3,23.9,70.68,44,2,42.2,72.7,6.49,Italia
Leeds,2022,4-2-3-1,1652,225,25,215,29,25.8,288.00,40,2,49.8,75.6,6.56,Inglaterra
Leeds,2022,4-3-3,95,9,1,26,3,25.8,288.00,40,2,49.8,75.6,6.56,Inglaterra
Leeds,2022,5-3-2,41,2,0,11,1,25.8,288.00,40,2,49.8,75.6,6.56,Inglaterra
Leeds,2022,5-4-1,9,1,0,1,0,25.8,288.00,40,2,49.8,75.6,6.56,Inglaterra
Leeds,2022,4-4-2,6,1,0,1,0,25.8,288.00,40,2,49.8,75.6,6.56,Inglaterra
Leicester,2022,4-3-3,936,123,19,125,11,27.1,457.10,24,0,51.0,82.7,6.56,Inglaterra
Leicester,2022,4-2-3-1,389,31,1,65,10,27.1,457.10,24,0,51.0,82.7,6.56,Inglaterra
Leicester,2022,3-4-3,254,26,3,36,6,27.1,457.10,24,0,51.0,82.7,6.56,Inglaterra
Leicester,2022,4-4-2,199,26,5,31,5,27.1,457.10,24,0,51.0,82.7,6.56,Inglaterra
Leicester,2022,5-3-2,48,2,0,12,3,27.1,457.10,24,0,51.0,82.7,6.56,Inglaterra
Leicester,2022,4-3-1-2,22,2,0,5,0,27.1,457.10,24,0,51.0,82.7,6.56,Inglaterra
Leicester,2022,3-5-2,21,5,0,1,0,27.1,457.10,24,0,51.0,82.7,6.56,Inglaterra
Leicester,2022,5-4-1,4,1,0,0,0,27.1,457.10,24,0,51.0,82.7,6.56,Inglaterra
Lens,2022,3-4-3,1603,236,31,161,13,25.7,158.95,36,1,58.3,87.1,6.74,Francia
Lens,2022,3-5-2,188,24,1,22,0,25.7,158.95,36,1,58.3,87.1,6.74,Francia
Lille,2022,4-2-3-1,1444,229,27,133,22,25.7,185.70,42,1,59.1,85.6,6.71,Francia
Lille,2022,3-4-3,250,32,4,29,2,25.7,185.70,42,1,59.1,85.6,6.71,Francia
Lille,2022,4-4-2,88,22,4,10,1,25.7,185.70,42,1,59.1,85.6,6.71,Francia
Liverpool,2022,4-3-3,1195,215,27,118,18,26.4,931.00,21,1,59.4,83.1,6.69,Inglaterra
Liverpool,2022,4-2-3-1,207,27,2,33,3,26.4,931.00,21,1,59.4,83.1,6.69,Inglaterra
Liverpool,2022,4-4-2,195,40,2,17,1,26.4,931.00,21,1,59.4,83.1,6.69,Inglaterra
Liverpool,2022,4-3-1-2,191,35,3,28,3,26.4,931.00,21,1,59.4,83.1,6.69,Inglaterra
Liverpool,2022,5-4-1,8,2,0,1,0,26.4,931.00,21,1,59.4,83.1,6.69,Inglaterra
