Nº,Formation,Min,Sh,G,ShA,GA,xG,xGA,xGD,xG90,xGA90,Año,Club
2,3-4-3,526,56,11,74,6,7.52-3.48,8.33+2.33,-0.81,1.29,1.42,2019,Arsenal
3,4-3-3,357,51,7,54,4,6.81-0.19,5.28+1.28,1.53,1.72,1.33,2019,Arsenal
4,4-4-2,270,45,6,28,5,4.65-1.35,3.76-1.24,0.89,1.55,1.25,2019,Arsenal
5,4-3-1-2,157,16,1,45,3,1.87+0.87,3.63+0.63,-1.75,1.07,2.08,2019,Arsenal
6,3-4-1-2,149,15,1,29,3,1.53+0.53,1.93-1.07,-0.41,0.92,1.17,2019,Arsenal
7,4-1-2-1-2,73,6,2,21,1,0.93-1.07,1.21+0.21,-0.28,1.15,1.49,2019,Arsenal
8,4-3-2-1,63,2,0,12,2,0.12+0.12,1.74-0.26,-1.62,0.18,2.49,2019,Arsenal
9,5-3-2,60,2,1,11,0,0.34-0.66,1.23+1.23,-0.89,0.51,1.85,2019,Arsenal
10,4-4-1-1,38,1,0,8,1,0.37+0.37,1.05+0.05,-0.68,0.88,2.49,2019,Arsenal
1,3-5-2,3274,318,33,392,37,43.96+10.96,49.61+12.61,-5.65,1.21,1.36,2019,Sheffield_United
2,4-3-1-2,119,23,5,12,0,4.14-0.86,0.87+0.87,3.27,3.13,0.66,2019,Sheffield_United
3,3-4-1-2,61,4,1,11,1,0.45-0.55,1.64+0.64,-1.18,0.67,2.41,2019,Sheffield_United
4,3-5-1-1,36,2,0,6,0,0.45+0.45,0.32+0.32,0.13,1.11,0.79,2019,Sheffield_United
5,4-3-3,25,1,0,2,1,0.02+0.02,0.69-0.31,-0.67,0.06,2.48,2019,Sheffield_United
6,5-4-1,21,2,0,3,0,0.08+0.08,0.04+0.04,0.04,0.33,0.16,2019,Sheffield_United
7,4-1-2-1-2,19,2,0,3,0,0.11+0.11,0.12+0.12,-0.01,0.53,0.56,2019,Sheffield_United
8,4-3-2-1,16,4,0,2,0,0.54+0.54,0.25+0.25,0.29,3.06,1.42,2019,Sheffield_United
1,4-4-2,3280,367,39,479,45,50.59+11.59,48.35+3.35,2.24,1.39,1.33,2019,Burnley
2,4-4-1-1,256,20,3,46,5,1.46-1.54,5.91+0.91,-4.46,0.51,2.08,2019,Burnley
3,5-4-1,23,1,0,8,0,0.06+0.06,0.64+0.64,-0.58,0.24,2.50,2019,Burnley
4,4-1-2-1-2,15,1,1,2,0,0.02-0.98,0.14+0.14,-0.12,0.12,0.82,2019,Burnley
5,4-5-1,12,0,0,3,0,0.00,0.06+0.06,-0.06,0.00,0.42,2019,Burnley
1,4-4-2,2255,342,39,247,28,39.99+0.99,33.32+5.32,6.67,1.60,1.33,2019,Southampton
2,3-4-2-1,343,51,3,39,6,6.14+3.14,4.85-1.15,1.28,1.61,1.27,2019,Southampton
3,4-2-2-2,246,29,4,30,4,2.37-1.63,3.26-0.74,-0.89,0.87,1.19,2019,Southampton
4,4-3-3,239,35,1,28,6,2.79+1.79,3.69-2.31,-0.90,1.05,1.39,2019,Southampton
5,3-5-2,126,16,1,19,4,2.63+1.63,1.76-2.24,0.87,1.88,1.26,2019,Southampton
6,3-4-3,111,5,1,26,2,1.00,2.22+0.22,-1.21,0.81,1.80,2019,Southampton
7,5-3-2,95,3,1,26,2,0.92-0.08,3.37+1.37,-2.45,0.87,3.19,2019,Southampton
8,3-4-1-2,70,12,1,7,2,1.12+0.12,0.76-1.24,0.35,1.44,0.98,2019,Southampton
9,4-4-1-1,65,4,0,16,4,0.36+0.36,2.87-1.13,-2.51,0.50,3.97,2019,Southampton
10,5-4-1,37,2,0,13,2,0.10+0.10,1.65-0.35,-1.55,0.23,4.01,2019,Southampton
11,4-2-3-1,9,1,0,2,0,0.02+0.02,0.43+0.43,-0.41,0.19,4.27,2019,Southampton
1,4-4-2,1802,230,24,234,25,27.78+3.78,25.19+0.19,2.59,1.39,1.26,2019,Everton
2,4-2-3-1,1236,185,16,133,20,22.51+6.51,18.99-1.01,3.52,1.64,1.38,2019,Everton
3,3-5-2,139,8,0,21,5,0.47+0.47,2.72-2.28,-2.25,0.31,1.76,2019,Everton
4,3-4-1-2,115,25,1,7,1,1.65+0.65,1.01+0.01,0.64,1.29,0.79,2019,Everton
5,4-1-4-1,110,7,0,8,1,0.79+0.79,0.78-0.22,0.02,0.65,0.63,2019,Everton
6,3-4-3,81,10,1,13,1,1.14+0.14,1.70+0.70,-0.56,1.26,1.89,2019,Everton
7,5-3-2,42,0,0,8,0,0.00,0.47+0.47,-0.47,0.00,1.01,2019,Everton
8,5-4-1,34,5,1,4,3,0.99-0.01,1.53-1.47,-0.54,2.62,4.04,2019,Everton
9,4-3-3,18,2,1,2,0,1.04+0.04,0.04+0.04,1.00,5.19,0.19,2019,Everton
10,4-4-1-1,3,0,0,1,0,0.00,0.06+0.06,-0.06,0.00,1.88,2019,Everton
1,5-4-1,1998,214,19,336,28,16.33-2.67,41.28+13.28,-24.95,0.74,1.86,2019,Newcastle_United
2,3-5-2,589,65,4,99,13,5.34+1.34,9.70-3.30,-4.36,0.82,1.48,2019,Newcastle_United
3,4-4-1-1,283,33,5,38,3,4.32-0.68,4.93+1.93,-0.61,1.37,1.57,2019,Newcastle_United
4,4-2-3-1,282,26,6,43,8,3.78-2.22,6.25-1.75,-2.47,1.21,1.99,2019,Newcastle_United
5,4-4-2,248,41,1,22,0,5.04+4.04,2.20+2.20,2.84,1.83,0.80,2019,Newcastle_United
6,5-3-2,80,8,2,15,1,0.57-1.43,2.37+1.37,-1.80,0.64,2.66,2019,Newcastle_United
7,3-4-2-1,54,4,0,11,2,0.74+0.74,1.51-0.49,-0.76,1.24,2.51,2019,Newcastle_United
8,4-1-4-1,20,3,0,2,2,0.12+0.12,1.09-0.91,-0.97,0.52,4.89,2019,Newcastle_United
9,3-5-1-1,17,2,1,1,0,0.49-0.51,0.08+0.08,0.41,2.58,0.40,2019,Newcastle_United
10,4-3-3,8,1,0,0,0,0.02+0.02,0.00,0.02,0.21,0.00,2019,Newcastle_United
11,4-5-1,7,1,0,2,1,0.09+0.09,0.55-0.45,-0.46,1.13,7.02,2019,Newcastle_United
1,4-5-1,1895,182,16,291,30,18.08+2.08,36.15+6.15,-18.06,0.86,1.72,2019,Crystal_Palace
2,4-3-3,679,97,8,75,3,8.43+0.43,5.52+2.52,2.91,1.12,0.73,2019,Crystal_Palace
3,4-4-2,582,60,4,73,8,5.62+1.62,9.34+1.34,-3.72,0.87,1.44,2019,Crystal_Palace
4,4-1-4-1,375,34,2,70,9,4.09+2.09,8.92-0.08,-4.84,0.98,2.14,2019,Crystal_Palace
5,4-4-1-1,73,4,1,5,0,0.26-0.74,0.32+0.32,-0.06,0.32,0.39,2019,Crystal_Palace
6,4-2-2-2,12,1,0,0,0,0.06+0.06,0.00,0.06,0.46,0.00,2019,Crystal_Palace
1,4-4-2,922,136,10,137,18,14.24+4.24,21.42+3.42,-7.18,1.39,2.09,2019,Brighton
2,4-2-3-1,703,101,8,94,10,10.13+2.13,10.23+0.23,-0.10,1.30,1.31,2019,Brighton
3,3-4-3,653,76,8,81,8,11.64+3.64,8.74+0.74,2.89,1.60,1.20,2019,Brighton
4,4-3-3,429,43,3,71,8,4.89+1.89,8.88+0.88,-3.99,1.03,1.86,2019,Brighton
5,4-1-2-1-2,214,35,3,20,2,3.49+0.49,3.03+1.03,0.46,1.47,1.28,2019,Brighton
6,4-2-2-2,160,17,1,19,0,2.01+1.01,0.91+0.91,1.10,1.13,0.51,2019,Brighton
7,3-4-1-2,125,14,2,23,2,1.39-0.61,4.03+2.03,-2.64,1.00,2.90,2019,Brighton
8,5-3-2,124,17,1,15,3,1.68+0.68,2.78-0.22,-1.10,1.22,2.01,2019,Brighton
9,3-5-2,96,10,1,21,1,0.68-0.32,2.36+1.36,-1.68,0.64,2.22,2019,Brighton
10,3-4-2-1,78,10,1,8,2,1.07+0.07,0.71-1.29,0.36,1.23,0.82,2019,Brighton
11,5-4-1,34,2,1,4,0,0.50-0.50,0.32+0.32,0.17,1.32,0.85,2019,Brighton
12,4-3-2-1,16,1,0,3,0,0.02+0.02,0.32+0.32,-0.30,0.11,1.81,2019,Brighton
13,4-5-1,13,2,0,4,0,0.18+0.18,0.22+0.22,-0.05,1.23,1.55,2019,Brighton
1,4-2-3-1,1128,144,19,176,20,18.20-0.80,20.50+0.50,-2.29,1.45,1.64,2019,West_Ham
2,4-1-4-1,916,121,14,117,12,13.54-0.46,17.47+5.47,-3.93,1.33,1.72,2019,West_Ham
3,4-4-1-1,628,61,9,81,12,6.82-2.18,14.10+2.10,-7.27,0.98,2.02,2019,West_Ham
4,4-4-2,517,63,5,69,11,7.08+2.08,11.12+0.12,-4.03,1.23,1.94,2019,West_Ham
5,5-3-2,145,7,1,28,4,1.05+0.05,3.71-0.29,-2.65,0.65,2.30,2019,West_Ham
6,3-4-2-1,95,7,0,13,1,0.90+0.90,2.03+1.03,-1.12,0.86,1.92,2019,West_Ham
7,4-5-1,54,6,0,10,1,0.86+0.86,1.48+0.48,-0.62,1.44,2.47,2019,West_Ham
8,4-3-3,46,7,1,4,0,1.15+0.15,0.16+0.16,0.99,2.25,0.32,2019,West_Ham
9,5-4-1,39,1,0,3,1,0.02+0.02,1.12+0.12,-1.10,0.03,2.57,2019,West_Ham
10,4-1-3-2,21,3,0,3,0,0.13+0.13,0.18+0.18,-0.05,0.54,0.75,2019,West_Ham
1,4-3-3,1887,256,24,286,28,29.03+5.03,29.77+1.77,-0.73,1.38,1.42,2019,Aston_Villa
2,4-1-4-1,587,59,5,118,13,5.64+0.64,15.38+2.38,-9.74,0.86,2.36,2019,Aston_Villa
3,3-4-3,426,59,7,73,8,6.75-0.25,11.68+3.68,-4.93,1.43,2.47,2019,Aston_Villa
4,4-2-3-1,175,20,1,36,3,1.23+0.23,4.72+1.72,-3.49,0.63,2.43,2019,Aston_Villa
5,5-3-2,102,7,0,26,6,0.17+0.17,3.29-2.71,-3.13,0.15,2.91,2019,Aston_Villa
6,4-1-2-1-2,95,11,0,9,1,0.40+0.40,0.70-0.30,-0.30,0.38,0.67,2019,Aston_Villa
7,4-4-1-1,65,8,0,10,3,0.52+0.52,2.01-0.99,-1.49,0.72,2.79,2019,Aston_Villa
8,4-4-2,65,15,1,11,1,0.51-0.49,1.41+0.41,-0.90,0.71,1.95,2019,Aston_Villa
9,3-4-2-1,64,1,0,20,1,0.30+0.30,1.99+0.99,-1.69,0.43,2.80,2019,Aston_Villa
10,3-4-1-2,52,12,1,4,0,1.29+0.29,0.94+0.94,0.35,2.23,1.62,2019,Aston_Villa
11,5-4-1,26,5,1,6,1,1.06+0.06,1.12+0.12,-0.06,3.68,3.89,2019,Aston_Villa
12,4-2-2-2,25,1,0,6,2,0.06+0.06,0.46-1.54,-0.40,0.21,1.65,2019,Aston_Villa
13,4-3-1-2,23,5,1,3,0,0.34-0.66,0.09+0.09,0.25,1.32,0.36,2019,Aston_Villa
1,4-4-2,1826,210,21,269,31,21.67+0.67,29.84-1.16,-8.17,1.07,1.47,2019,Bournemouth
2,4-3-3,482,46,5,91,11,6.91+1.91,10.28-0.72,-3.37,1.29,1.92,2019,Bournemouth
3,4-5-1,428,38,3,64,4,3.98+0.98,7.06+3.06,-3.08,0.84,1.48,2019,Bournemouth
4,4-4-1-1,223,29,6,47,2,4.88-1.12,3.37+1.37,1.51,1.97,1.36,2019,Bournemouth
5,5-4-1,190,24,2,27,5,3.56+1.56,3.96-1.04,-0.40,1.69,1.88,2019,Bournemouth
6,4-1-4-1,145,10,1,22,4,1.42+0.42,2.86-1.14,-1.44,0.88,1.77,2019,Bournemouth
7,3-4-2-1,109,14,1,10,2,1.96+0.96,2.97+0.97,-1.01,1.62,2.45,2019,Bournemouth
8,3-4-1-2,53,9,1,7,1,2.28+1.28,1.09+0.09,1.19,3.87,1.85,2019,Bournemouth
9,3-4-3,51,4,0,9,3,0.26+0.26,1.20-1.80,-0.94,0.46,2.12,2019,Bournemouth
10,3-5-2,37,0,0,7,1,0.00,0.73-0.27,-0.73,0.00,1.79,2019,Bournemouth
11,4-2-3-1,23,2,0,4,1,0.41+0.41,0.65-0.35,-0.24,1.61,2.56,2019,Bournemouth
12,4-3-1-2,14,1,0,1,0,0.05+0.05,0.05+0.05,-0.00,0.33,0.34,2019,Bournemouth
13,5-3-2,11,2,0,2,0,0.12+0.12,0.18+0.18,-0.06,0.98,1.45,2019,Bournemouth
1,4-2-3-1,1929,255,28,270,29,32.15+4.15,30.31+1.31,1.84,1.50,1.41,2019,Watford
2,5-3-2,641,64,5,87,6,7.08+2.08,8.03+2.03,-0.96,0.99,1.13,2019,Watford
3,4-2-2-2,285,41,2,29,7,5.59+3.59,4.48-2.52,1.11,1.77,1.41,2019,Watford
4,4-4-2,220,11,0,32,4,0.49+0.49,4.99+0.99,-4.50,0.20,2.04,2019,Watford
5,4-3-3,171,22,0,10,2,2.52+2.52,2.37+0.37,0.15,1.33,1.25,2019,Watford
6,4-4-1-1,161,14,0,33,9,0.80+0.80,7.05-1.95,-6.25,0.45,3.94,2019,Watford
7,3-4-2-1,95,13,1,13,1,1.11+0.11,1.04+0.04,0.07,1.06,0.99,2019,Watford
8,4-5-1,69,2,0,21,4,0.13+0.13,3.97-0.03,-3.84,0.17,5.18,2019,Watford
9,3-4-3,21,1,0,4,2,0.13+0.13,1.82-0.18,-1.69,0.55,7.78,2019,Watford
1,4-2-3-1,2928,350,24,488,62,32.83+8.83,61.16-0.84,-28.33,1.01,1.88,2019,Norwich
2,4-1-4-1,281,23,1,52,5,1.58+0.58,7.75+2.75,-6.17,0.51,2.48,2019,Norwich
3,4-4-2,117,11,0,25,3,0.74+0.74,2.05-0.95,-1.32,0.57,1.58,2019,Norwich
4,3-4-1-2,72,6,0,14,2,0.56+0.56,1.64-0.36,-1.09,0.70,2.06,2019,Norwich
5,3-4-3,56,3,1,10,1,0.54-0.46,1.07+0.07,-0.53,0.86,1.72,2019,Norwich
6,4-4-1-1,47,2,0,15,1,0.04+0.04,2.16+1.16,-2.12,0.08,4.14,2019,Norwich
7,3-4-2-1,27,5,0,3,1,0.14+0.14,0.26-0.74,-0.11,0.48,0.86,2019,Norwich
8,4-3-1-2,27,6,0,0,0,2.01+2.01,0.00,2.01,6.72,0.00,2019,Norwich
9,4-2-2-2,20,2,0,2,0,0.06+0.06,0.09+0.09,-0.02,0.29,0.40,2019,Norwich
10,3-5-2,17,2,0,1,0,0.04+0.04,0.10+0.10,-0.06,0.19,0.52,2019,Norwich
1,4-3-3,2816,540,75,190,18,79.61+4.61,22.01+4.01,57.60,2.54,0.70,2018,Manchester_City
2,4-2-3-1,314,50,6,26,1,6.96+0.96,1.42+0.42,5.54,2.00,0.41,2018,Manchester_City
3,4-1-3-2,94,23,2,4,1,2.48+0.48,0.55-0.45,1.94,2.38,0.52,2018,Manchester_City
4,4-4-1-1,92,20,4,6,1,2.22-1.78,0.60-0.40,1.63,2.17,0.58,2018,Manchester_City
5,3-1-4-2,84,29,6,5,1,4.84-1.16,0.66-0.34,4.18,5.19,0.71,2018,Manchester_City
6,3-2-4-1,77,8,1,4,0,1.41+0.41,0.14+0.14,1.28,1.65,0.16,2018,Manchester_City
7,3-4-1-2,31,7,1,0,0,0.41-0.59,0.00,0.41,1.19,0.00,2018,Manchester_City
8,4-4-2,12,2,0,1,0,0.07+0.07,0.04+0.04,0.03,0.50,0.28,2018,Manchester_City
9,3-4-3,11,3,0,0,0,0.20+0.20,0.00,0.20,1.63,0.00,2018,Manchester_City
10,4-1-2-1-2,10,1,0,1,1,0.07+0.07,0.76-0.24,-0.69,0.61,6.85,2018,Manchester_City
11,3-3-3-1,9,4,0,0,0,0.76+0.76,0.00,0.76,7.60,0.00,2018,Manchester_City
12,5-4-1,4,0,0,1,0,0.00,0.06+0.06,-0.06,0.00,1.45,2018,Manchester_City
1,4-3-3,2253,365,49,206,13,51.81+2.81,18.32+5.32,33.49,2.07,0.73,2018,Liverpool
2,4-2-3-1,954,144,28,71,5,23.78-4.22,7.67+2.67,16.10,2.24,0.72,2018,Liverpool
3,4-4-2,196,28,7,18,1,4.15-2.85,2.65+1.65,1.50,1.90,1.22,2018,Liverpool
4,4-4-1-1,149,41,5,12,3,3.88-1.12,1.22-1.78,2.66,2.34,0.74,2018,Liverpool
1,4-3-3,3542,599,62,346,39,66.17+4.17,38.55-0.45,27.62,1.68,0.98,2018,Chelsea
2,4-2-3-1,41,9,1,2,0,0.41-0.59,0.16+0.16,0.25,0.91,0.36,2018,Chelsea
1,4-2-3-1,1161,163,21,154,8,20.18-0.82,16.70+8.70,3.48,1.56,1.29,2018,Tottenham
2,4-1-2-1-2,861,128,20,121,12,14.81-5.19,14.05+2.05,0.76,1.55,1.47,2018,Tottenham
3,3-4-2-1,224,37,5,25,1,5.80+0.80,2.50+1.50,3.30,2.33,1.00,2018,Tottenham
4,4-3-2-1,205,28,3,30,4,4.00+1.00,2.31-1.69,1.69,1.76,1.01,2018,Tottenham
5,3-1-4-2,201,33,3,22,4,3.20+0.20,2.11-1.89,1.09,1.43,0.95,2018,Tottenham
6,3-4-1-2,195,38,7,22,1,4.93-2.07,3.24+2.24,1.69,2.28,1.49,2018,Tottenham
7,3-5-2,118,16,0,13,3,0.61+0.61,1.16-1.84,-0.55,0.46,0.88,2018,Tottenham
8,4-2-2-2,117,19,4,16,0,2.98-1.02,1.54+1.54,1.44,2.29,1.18,2018,Tottenham
9,5-3-2,113,13,1,20,2,1.56+0.56,2.46+0.46,-0.90,1.24,1.96,2018,Tottenham
10,4-4-2,109,23,3,10,1,3.31+0.31,1.83+0.83,1.48,2.73,1.51,2018,Tottenham
11,4-3-3,86,29,0,3,0,1.32+1.32,0.08+0.08,1.24,1.38,0.09,2018,Tottenham
12,4-3-1-2,77,9,0,7,2,0.72+0.72,1.40-0.60,-0.67,0.85,1.63,2018,Tottenham
13,4-5-1,45,1,0,14,1,0.07+0.07,1.42+0.42,-1.35,0.14,2.84,2018,Tottenham
14,4-1-3-2,35,1,0,8,0,0.04+0.04,2.07+2.07,-2.03,0.11,5.32,2018,Tottenham
1,4-2-3-1,1705,227,33,253,26,31.52-1.48,29.09+3.09,2.43,1.66,1.54,2018,Arsenal
2,3-4-2-1,481,59,11,50,6,10.63-0.37,4.36-1.64,6.27,1.99,0.82,2018,Arsenal
3,4-3-1-2,271,37,3,36,4,4.19+1.19,4.75+0.75,-0.56,1.39,1.58,2018,Arsenal
4,3-4-1-2,242,43,7,33,2,4.18-2.82,5.01+3.01,-0.83,1.55,1.86,2018,Arsenal
5,4-4-2,197,17,4,42,5,2.18-1.82,5.86+0.86,-3.68,1.00,2.68,2018,Arsenal
6,3-4-3,192,23,4,31,5,4.46+0.46,3.48-1.52,0.98,2.09,1.63,2018,Arsenal
7,4-3-3,172,28,6,14,1,7.23+1.23,1.89+0.89,5.34,3.78,0.99,2018,Arsenal
8,4-1-2-1-2,161,20,4,29,1,2.86-1.14,3.20+2.20,-0.34,1.60,1.79,2018,Arsenal
9,4-2-2-2,63,9,1,6,1,0.81-0.19,0.82-0.18,-0.01,1.15,1.16,2018,Arsenal
10,3-1-4-2,49,6,0,3,0,0.88+0.88,0.23+0.23,0.65,1.61,0.42,2018,Arsenal
11,4-5-1,22,2,0,2,0,0.11+0.11,0.06+0.06,0.05,0.46,0.25,2018,Arsenal
12,5-4-1,12,0,0,1,0,0.00,0.30+0.30,-0.30,0.00,2.21,2018,Arsenal
1,4-3-3,1375,191,30,191,22,28.08-1.92,22.04+0.04,6.05,1.84,1.44,2018,Manchester_United
2,4-2-3-1,741,112,19,91,6,18.74-0.26,7.90+1.90,10.84,2.28,0.96,2018,Manchester_United
3,4-3-1-2,514,84,6,65,6,9.43+3.43,6.45+0.45,2.98,1.65,1.13,2018,Manchester_United
4,5-3-2,228,26,2,32,6,1.59-0.41,3.04-2.96,-1.45,0.63,1.20,2018,Manchester_United
5,4-2-2-2,134,19,1,23,0,2.15+1.15,1.96+1.96,0.19,1.44,1.32,2018,Manchester_United
6,3-4-1-2,127,17,4,13,3,2.35-1.65,2.86-0.14,-0.51,1.66,2.03,2018,Manchester_United
7,3-5-1-1,115,24,1,12,3,2.69+1.69,1.47-1.53,1.22,2.10,1.15,2018,Manchester_United
8,4-1-4-1,89,20,0,15,3,1.46+1.46,3.12+0.12,-1.67,1.48,3.16,2018,Manchester_United
9,4-1-2-1-2,75,10,1,18,0,0.83-0.17,1.64+1.64,-0.81,0.99,1.97,2018,Manchester_United
10,4-4-1-1,58,3,1,19,1,0.57-0.43,2.08+1.08,-1.51,0.88,3.23,2018,Manchester_United
11,3-5-2,56,7,0,6,1,1.41+1.41,1.06+0.06,0.36,2.27,1.70,2018,Manchester_United
12,4-4-2,38,8,0,11,1,0.88+0.88,0.66-0.34,0.21,2.08,1.57,2018,Manchester_United
13,3-1-4-2,19,5,0,2,1,0.23+0.23,1.07+0.07,-0.84,1.10,5.08,2018,Manchester_United
14,3-4-2-1,14,0,0,1,1,0.00,0.55-0.45,-0.55,0.00,3.53,2018,Manchester_United
1,3-5-2,1504,186,22,193,19,24.83+2.83,22.67+3.67,2.16,1.49,1.36,2018,Wolverhampton_Wanderers
2,3-4-2-1,924,146,12,126,9,13.63+1.63,8.90-0.10,4.73,1.33,0.87,2018,Wolverhampton_Wanderers
3,3-4-3,814,112,11,89,13,12.81+1.81,8.95-4.05,3.86,1.42,0.99,2018,Wolverhampton_Wanderers
4,3-4-1-2,339,33,2,57,5,3.31+1.31,6.76+1.76,-3.44,0.88,1.79,2018,Wolverhampton_Wanderers
1,4-2-3-1,2439,351,36,260,28,41.15+5.15,31.16+3.16,9.99,1.52,1.15,2018,Everton
2,4-4-2,369,70,8,37,5,7.83-0.17,5.71+0.71,2.12,1.91,1.39,2018,Everton
3,4-4-1-1,338,31,3,48,3,2.26-0.74,6.44+3.44,-4.18,0.60,1.71,2018,Everton
4,3-4-2-1,188,20,5,28,4,2.33-2.67,4.32+0.32,-1.99,1.12,2.07,2018,Everton
5,4-1-4-1,171,18,2,16,3,1.87-0.13,2.56-0.44,-0.69,0.98,1.35,2018,Everton
6,5-4-1,62,2,0,13,3,0.38+0.38,1.97-1.03,-1.59,0.55,2.86,2018,Everton
7,3-1-4-2,21,5,0,2,0,0.73+0.73,0.07+0.07,0.66,3.14,0.31,2018,Everton
1,4-2-3-1,1863,281,27,201,25,29.73+2.73,21.20-3.80,8.53,1.44,1.02,2018,Leicester
2,4-1-4-1,571,99,9,65,6,12.95+3.95,6.71+0.71,6.24,2.04,1.06,2018,Leicester
3,4-3-3,473,64,6,68,8,4.98-1.02,7.63-0.37,-2.65,0.95,1.45,2018,Leicester
4,4-4-1-1,277,29,5,31,3,3.10-1.90,3.70+0.70,-0.60,1.01,1.20,2018,Leicester
5,3-4-2-1,103,14,1,7,2,0.79-0.21,1.49-0.51,-0.70,0.69,1.31,2018,Leicester
6,4-5-1,95,9,0,20,1,0.91+0.91,1.15+0.15,-0.25,0.86,1.09,2018,Leicester
7,3-4-1-2,62,7,1,15,2,1.84+0.84,1.27-0.73,0.57,2.67,1.85,2018,Leicester
8,5-3-2,39,2,0,5,0,0.08+0.08,0.28+0.28,-0.20,0.19,0.64,2018,Leicester
9,4-4-2,35,6,1,7,0,1.03+0.03,0.34+0.34,0.69,2.64,0.87,2018,Leicester
10,3-5-2,16,3,0,1,0,0.10+0.10,0.03+0.03,0.07,0.57,0.18,2018,Leicester
11,3-5-1-1,15,1,1,4,0,0.10-0.90,0.67+0.67,-0.58,0.58,4.04,2018,Leicester
12,5-4-1,8,0,0,2,1,0.00,0.74-0.26,-0.74,0.00,8.36,2018,Leicester
13,4-1-2-1-2,7,2,0,0,0,0.02+0.02,0.00,0.02,0.31,0.00,2018,Leicester
14,4-3-1-2,7,1,0,1,0,0.07+0.07,0.08+0.08,-0.01,0.89,0.99,2018,Leicester
1,4-1-4-1,1364,180,20,192,17,22.90+2.90,20.84+3.84,2.06,1.51,1.38,2018,West_Ham
2,4-4-2,1003,122,20,145,19,13.78-6.22,17.69-1.31,-3.91,1.24,1.59,2018,West_Ham
3,4-2-3-1,773,87,9,118,13,8.83-0.17,19.14+6.14,-10.31,1.03,2.23,2018,West_Ham
4,4-4-1-1,257,38,3,46,5,2.92-0.08,8.38+3.38,-5.46,1.02,2.93,2018,West_Ham
5,4-3-3,94,6,0,17,0,1.02+1.02,1.88+1.88,-0.87,0.97,1.80,2018,West_Ham
6,4-3-2-1,29,7,0,4,0,0.30+0.30,0.69+0.69,-0.39,0.95,2.15,2018,West_Ham
7,4-5-1,14,2,0,4,1,0.20+0.20,0.23-0.77,-0.04,1.25,1.49,2018,West_Ham
8,5-4-1,9,0,0,3,0,0.00,0.31+0.31,-0.31,0.00,3.05,2018,West_Ham
1,4-2-2-2,2870,366,44,392,43,44.71+0.71,52.30+9.30,-7.58,1.40,1.64,2018,Watford
2,4-2-3-1,152,14,1,18,4,2.40+1.40,2.94-1.06,-0.54,1.42,1.74,2018,Watford
3,4-3-1-2,129,14,0,19,6,1.30+1.30,5.65-0.35,-4.35,0.91,3.94,2018,Watford
4,3-5-2,77,14,3,9,0,1.47-1.53,0.95+0.95,0.52,1.72,1.11,2018,Watford
5,4-5-1,67,1,1,13,3,0.35-0.65,2.18-0.82,-1.84,0.47,2.93,2018,Watford
6,4-1-4-1,65,4,0,13,2,0.44+0.44,2.07+0.07,-1.63,0.61,2.87,2018,Watford
7,4-4-1-1,65,5,0,16,0,0.26+0.26,1.39+1.39,-1.12,0.37,1.92,2018,Watford
8,4-4-2,42,8,2,5,0,1.77-0.23,0.19+0.19,1.58,3.79,0.40,2018,Watford
9,4-3-3,28,5,0,3,0,0.25+0.25,0.47+0.47,-0.22,0.80,1.51,2018,Watford
10,3-4-3,20,5,1,1,0,0.75-0.25,0.06+0.06,0.69,3.36,0.26,2018,Watford
11,3-4-2-1,17,0,0,3,0,0.00,0.13+0.13,-0.13,0.00,0.68,2018,Watford
12,5-3-2,4,1,0,1,1,0.12+0.12,0.11-0.89,0.01,2.72,2.56,2018,Watford
13,3-5-1-1,3,0,0,1,0,0.00,0.03+0.03,-0.03,0.00,0.98,2018,Watford
1,4-4-2,1983,291,26,279,28,31.64+5.64,30.40+2.40,1.24,1.44,1.38,2018,Crystal_Palace
2,4-3-3,1080,163,14,148,13,17.29+3.29,12.71-0.29,4.57,1.44,1.06,2018,Crystal_Palace
3,4-5-1,492,40,11,93,11,4.90-6.10,10.07-0.93,-5.17,0.90,1.84,2018,Crystal_Palace
4,4-1-4-1,22,1,0,3,0,0.02+0.02,0.19+0.19,-0.17,0.09,0.77,2018,Crystal_Palace
5,4-4-1-1,14,1,0,3,1,0.11+0.11,0.79-0.21,-0.69,0.68,5.09,2018,Crystal_Palace
1,5-4-1,2061,252,28,265,25,25.39-2.61,30.86+5.86,-5.46,1.11,1.35,2018,Newcastle_United
2,4-4-1-1,1067,135,8,161,15,11.57+3.57,19.84+4.84,-8.27,0.98,1.67,2018,Newcastle_United
3,3-5-1-1,218,26,3,33,1,1.61-1.39,2.46+1.46,-0.85,0.66,1.02,2018,Newcastle_United
4,5-3-2,93,6,0,16,4,0.46+0.46,3.25-0.75,-2.79,0.44,3.15,2018,Newcastle_United
5,3-4-3,64,11,1,6,2,1.35+0.35,1.05-0.95,0.30,1.90,1.48,2018,Newcastle_United
6,4-4-2,42,9,2,4,0,1.06-0.94,0.17+0.17,0.90,2.28,0.36,2018,Newcastle_United
7,4-3-3,22,3,0,1,1,0.14+0.14,0.39-0.61,-0.25,0.57,1.58,2018,Newcastle_United
8,4-1-4-1,8,4,0,2,0,0.28+0.28,0.14+0.14,0.13,3.11,1.59,2018,Newcastle_United
