Club,Nº jugadores,Edad,Extranjeros,Media valor mercado,Valor de mercado,Año,Liga
West Ham,38,26.5,25,7.99 mill. €,303.60 mill. €,2019,premier-league
Bournemouth,39,24.8,17,6.98 mill. €,272.18 mill. €,2019,premier-league
Newcastle United,41,26.0,23,6.16 mill. €,252.48 mill. €,2019,premier-league
Aston Villa,38,25.7,22,6.10 mill. €,231.70 mill. €,2019,premier-league
Southampton,36,24.4,18,5.85 mill. €,210.75 mill. €,2019,premier-league
Brighton,45,24.7,29,4.46 mill. €,200.78 mill. €,2019,premier-league
Watford,43,25.7,28,4.64 mill. €,199.60 mill. €,2019,premier-league
Crystal Palace,33,26.8,18,5.74 mill. €,189.33 mill. €,2019,premier-league
Burnley,35,26.3,12,4.68 mill. €,163.88 mill. €,2019,premier-league
Norwich,38,25.5,25,3.82 mill. €,145.33 mill. €,2019,premier-league
Sheffield United,34,27.3,16,4.08 mill. €,138.60 mill. €,2019,premier-league
Bayern Munich,32,25.7,15,24.53 mill. €,784.88 mill. €,2018,bundesliga
Borussia Dortmund,34,24.4,19,18.92 mill. €,643.25 mill. €,2018,bundesliga
RasenBallsport Leipzig,34,22.6,22,14.09 mill. €,479.00 mill. €,2018,bundesliga
Bayer Leverkusen,31,24.6,16,13.85 mill. €,429.40 mill. €,2018,bundesliga
Hoffenheim,38,24.4,22,8.85 mill. €,336.25 mill. €,2018,bundesliga
Eintracht Frankfurt,47,24.8,28,6.67 mill. €,313.40 mill. €,2018,bundesliga
Borussia M.Gladbach,30,25.2,17,8.81 mill. €,264.30 mill. €,2018,bundesliga
Wolfsburg,36,25.1,21,6.37 mill. €,229.25 mill. €,2018,bundesliga
Schalke 04,39,25.1,24,5.67 mill. €,221.30 mill. €,2018,bundesliga
Hertha Berlin,36,24.4,19,5.77 mill. €,207.63 mill. €,2018,bundesliga
Werder Bremen,33,25.8,18,5.09 mill. €,168.05 mill. €,2018,bundesliga
Mainz 05,35,24.7,20,4.56 mill. €,159.73 mill. €,2018,bundesliga
VfB Stuttgart,34,24.9,16,4.23 mill. €,143.75 mill. €,2018,bundesliga
Augsburg,40,24.9,19,3.48 mill. €,139.25 mill. €,2018,bundesliga
Freiburg,34,25.0,9,3.59 mill. €,122.10 mill. €,2018,bundesliga
Fortuna Duesseldorf,34,26.3,16,2.79 mill. €,94.95 mill. €,2018,bundesliga
Hannover 96,37,25.7,18,2.47 mill. €,91.43 mill. €,2018,bundesliga
Nuernberg,29,25.2,11,1.88 mill. €,54.40 mill. €,2018,bundesliga
Bayern Munich,38,23.7,21,20.46 mill. €,777.33 mill. €,2019,bundesliga
Borussia Dortmund,37,24.5,20,17.68 mill. €,654.05 mill. €,2019,bundesliga
RasenBallsport Leipzig,38,23.0,26,15.01 mill. €,570.48 mill. €,2019,bundesliga
Bayer Leverkusen,29,25.1,18,13.76 mill. €,398.95 mill. €,2019,bundesliga
Borussia M.Gladbach,34,25.8,19,7.49 mill. €,254.70 mill. €,2019,bundesliga
Hoffenheim,37,26.3,25,6.11 mill. €,226.05 mill. €,2019,bundesliga
Schalke 04,33,24.2,20,6.71 mill. €,221.58 mill. €,2019,bundesliga
Hertha Berlin,42,24.2,20,5.17 mill. €,217.20 mill. €,2019,bundesliga
Eintracht Frankfurt,35,26.4,23,5.97 mill. €,208.98 mill. €,2019,bundesliga
Wolfsburg,38,24.7,23,5.46 mill. €,207.60 mill. €,2019,bundesliga
Werder Bremen,36,26.2,18,3.75 mill. €,135.13 mill. €,2019,bundesliga
Freiburg,30,25.8,10,4.09 mill. €,122.65 mill. €,2019,bundesliga
Mainz 05,35,23.9,19,3.47 mill. €,121.58 mill. €,2019,bundesliga
Augsburg,37,25.4,18,3.05 mill. €,112.95 mill. €,2019,bundesliga
FC Cologne,35,25.3,13,2.81 mill. €,98.48 mill. €,2019,bundesliga
Fortuna Duesseldorf,37,26.2,16,1.94 mill. €,71.78 mill. €,2019,bundesliga
Union Berlin,34,26.2,11,1.21 mill. €,41.20 mill. €,2019,bundesliga
Paderborn,32,25.3,15,903 mil €,28.90 mill. €,2019,bundesliga
Juventus,59,25.0,25,14.76 mill. €,871.05 mill. €,2018,serie-a
Napoli,54,24.3,27,11.98 mill. €,646.80 mill. €,2018,serie-a
Inter,60,24.0,30,10.30 mill. €,617.93 mill. €,2018,serie-a
AC Milan,45,24.4,22,12.86 mill. €,578.48 mill. €,2018,serie-a
Roma,57,23.7,27,8.05 mill. €,459.05 mill. €,2018,serie-a
Atalanta,88,22.7,29,4.18 mill. €,367.68 mill. €,2018,serie-a
Fiorentina,56,22.9,36,5.63 mill. €,315.33 mill. €,2018,serie-a
Lazio,57,24.4,33,5.11 mill. €,291.15 mill. €,2018,serie-a
Sassuolo,59,23.8,15,4.10 mill. €,242.05 mill. €,2018,serie-a
Torino,62,23.7,29,3.86 mill. €,239.23 mill. €,2018,serie-a
Sampdoria,59,23.5,30,3.67 mill. €,216.75 mill. €,2018,serie-a
Udinese,56,24.7,41,3.59 mill. €,201.20 mill. €,2018,serie-a
Genoa,69,23.8,35,2.78 mill. €,191.73 mill. €,2018,serie-a
Cagliari,49,25.9,18,3.17 mill. €,155.38 mill. €,2018,serie-a
Bologna,48,25.0,28,2.49 mill. €,119.68 mill. €,2018,serie-a
Empoli,59,24.1,24,1.79 mill. €,105.60 mill. €,2018,serie-a
SPAL 2013,51,25.3,20,1.91 mill. €,97.40 mill. €,2018,serie-a
Parma Calcio 1913,70,25.6,19,1.37 mill. €,95.75 mill. €,2018,serie-a
