Club,Goles,Tiros pp,Amarillas,Rojas,Posesión (%),Acierto Pase (%),Aéreos,Rating,Año,Pais
Chelsea,63,16,49,0,59.9,87.6,14,6.89,2018,Inglaterra
Tottenham,67,14.1,56,3,56.7,83.2,16.1,6.86,2018,Inglaterra
Arsenal,73,12.3,72,2,56.1,83.3,14.9,6.79,2018,Inglaterra
Leicester,51,13.6,57,5,50.8,79.2,21.5,6.78,2018,Inglaterra
Crystal Palace,51,13,58,2,46.6,76.8,18.1,6.78,2018,Inglaterra
West Ham,52,11.6,59,1,49,78.7,16.9,6.77,2018,Inglaterra
Everton,54,13.1,55,4,51,77.3,23.5,6.77,2018,Inglaterra
Wolverhampton Wanderers,47,12.6,72,1,47.4,78.2,21.6,6.75,2018,Inglaterra
Newcastle United,42,11.7,57,2,42.9,72.9,21.2,6.74,2018,Inglaterra
Manchester United,65,13.8,73,4,53.3,82.3,18.3,6.74,2018,Inglaterra
Burnley,45,9.5,75,1,43.4,70.3,27.6,6.7,2018,Inglaterra
Southampton,45,12.7,71,3,45.4,74,20.4,6.68,2018,Inglaterra
Watford,52,11.5,77,4,47.4,76.1,20.3,6.68,2018,Inglaterra
Bournemouth,56,11.7,60,1,47.7,78.1,18.8,6.68,2018,Inglaterra
Cardiff,34,11,66,1,39.1,63.9,25.8,6.62,2018,Inglaterra
Brighton,35,9.8,60,4,44.1,74.8,22,6.61,2018,Inglaterra
Fulham,34,11.9,68,2,49.2,80.3,19.7,6.56,2018,Inglaterra
Huddersfield,22,10.6,55,4,47.1,75.8,22.6,6.47,2018,Inglaterra
Bayern Munich,100,18.1,50,3,29.9,86.9,14.4,7.14,2019,Alemania
Borussia Dortmund,84,13.1,47,1,58.5,86.9,11,6.97,2019,Alemania
RasenBallsport Leipzig,81,16.2,47,3,54.1,82.6,15.5,6.95,2019,Alemania
Borussia M.Gladbach,66,14.1,71,3,23.3,81.8,16.7,6.85,2019,Alemania
Bayer Leverkusen,61,14.5,55,6,60.1,85.1,15.6,6.84,2019,Alemania
Eintracht Frankfurt,59,14.8,68,4,50,76.5,20.9,6.74,2019,Alemania
Wolfsburg,48,14,67,4,48.6,76,19.3,6.73,2019,Alemania
Hoffenheim,53,13.3,64,2,51.5,81.7,17.2,6.72,2019,Alemania
Freiburg,48,13.2,41,2,17.9,78.4,19.3,6.7,2019,Alemania
Hertha Berlin,48,10.6,74,4,46.5,77.5,18.6,6.69,2019,Alemania
FC Cologne,51,12.3,77,4,47.4,76.3,21.5,6.65,2019,Alemania
Union Berlin,41,11.8,65,5,43.8,70.5,27.2,6.65,2019,Alemania
Schalke 04,38,11.3,63,2,49.6,77.7,19,6.63,2019,Alemania
Mainz 05,44,13.3,71,3,44.8,75.3,18.4,6.63,2019,Alemania
Werder Bremen,42,12.5,72,4,48.9,78.6,17.8,6.57,2019,Alemania
Augsburg,45,10.7,64,2,11.9,69.8,16.8,6.57,2019,Alemania
Paderborn,37,12.7,80,3,46.9,77.8,14.1,6.52,2019,Alemania
Fortuna Duesseldorf,36,12.6,78,0,46.4,77.5,17.6,6.52,2019,Alemania
Bayern Munich,88,18.7,40,2,62.2,87.5,15.7,7.03,2018,Alemania
RasenBallsport Leipzig,63,14.6,61,1,49.5,75.3,22.4,6.96,2018,Alemania
Borussia Dortmund,81,13.2,40,3,56.8,86,14,6.93,2018,Alemania
Bayer Leverkusen,69,15.2,50,1,57.7,84.4,16.6,6.88,2018,Alemania
Hoffenheim,70,18,65,2,52.8,82,15.9,6.87,2018,Alemania
Eintracht Frankfurt,60,12.4,56,3,47.6,73.1,24.6,6.83,2018,Alemania
Wolfsburg,62,12.5,62,0,52.5,78.6,18.9,6.81,2018,Alemania
Borussia M.Gladbach,55,13.5,43,0,52.3,84.3,13.2,6.76,2018,Alemania
Werder Bremen,58,13.9,58,3,51.2,80,18.1,6.75,2018,Alemania
Hertha Berlin,49,11.9,61,5,48.6,78.4,20.9,6.74,2018,Alemania
Mainz 05,46,14.6,56,0,46.9,77.1,19.6,6.7,2018,Alemania
Fortuna Duesseldorf,49,12.3,67,1,44.4,77.4,18.7,6.67,2018,Alemania
Schalke 04,37,12.2,71,5,46.9,76.3,18,6.65,2018,Alemania
Augsburg,51,13.4,55,1,46.8,74.5,20,6.65,2018,Alemania
Freiburg,46,12.5,51,3,45.4,78.2,16.9,6.64,2018,Alemania
VfB Stuttgart,32,12,62,5,46.8,75.7,21.9,6.57,2018,Alemania
Hannover 96,31,11.3,59,4,47.4,76.8,18.6,6.57,2018,Alemania
Nuernberg,26,10.6,57,4,44.1,76,19,6.49,2018,Alemania
Atalanta,98,18.7,78,2,55.4,83.9,16.8,6.93,2019,Italia
Juventus,76,17.9,83,3,56.4,88,11.8,6.88,2019,Italia
Inter,81,16.3,98,7,52.8,85.1,14.2,6.85,2019,Italia
Lazio,79,15.3,97,3,50.1,84.2,12.4,6.84,2019,Italia
Roma,77,16.9,103,7,52,84.7,14.4,6.8,2019,Italia
